clientesSEE;clientesSEEML;clientesSEEMR;poblacionEH;potenciaTEEf;potenciaTEEI;potenciaTEIESP ;potenciaTEIESPB ;produccionEE;produccionEESP;produccionEESPb;ventaTEE;ventaTEEML;ventaTEEMR;A;
-;-;-;58,0;197,20;257,2;32,3;224,9;939,7;60,5;879,2;-;-;-;1998;
-;-;-;59,6;377,68;389,3;67,4;321,9;1 027,5;106,3;921,2;-;-;-;1999;
-;-;-;62,0;387,39;393,7;71,8;321,9;1 230,6;110,8;1 119,8;-;-;-;2000;
-;-;-;61,8;383,78;390,9;69,0;321,9;1 247,0;107,0;1 140,0;-;-;-;2001;
130 703;13;130 690;61,8;389,74;389,7;68,2;321,5;1 567,8;101,5;1 466,3;-;-;-;2002;
131 217;10;131 207;64,1;402,31;406,5;67,4;339,1;1 553,1;91,1;1 461,9;556,4;344,2;212,2;2003;
136 871;8;136 863;63,3;402,07;410,8;67,4;343,4;1 584,6;94,1;1 490,5;621,1;380,4;240,8;2004;
141 169;5;141 164;74,3;384,22;393,2;71,0;322,3;1 680,1;93,9;1 586,3;639,2;383,1;256,1;2005;
156 026;4;156 022;83,1;390,25;402,5;73,5;329,0;1 599,2;98,2;1 530,4;1 368,1;1 077,5;290,6;2006;
166 971;5;166 966;85,1;393,78;407,6;75,8;331,7;1 648,3;99,4;1 552,1;1 432,6;1 117,6;315,0;2007;
179 912;3;179 909;87,6;397,58;416,5;83,8;332,6;1 688,8;109,7;1 579,1;1 419,2;1 067,9;351,3;2008;
187 850;3;187 847;89,9;407,02;424,1;85,3;338,8;1 637,3;102,5;1 534,8;1 345,3;978,0;367,3;2009;
196 620;3;196 617;89,9;413,18;417,9;90,4;327,5;1 666,9;102,6;1 599,7;1 386,2;1 002,6;383,5;2010;
209 436;5;209 431;93,1;396,89;420,1;95,8;324,3;1 575,0;109,8;1 501,0;1 520,7;1 073,9;446,7;2011;
225 491;4;225 487;94,5;415,02;420,7;98,5;322,2;1 654,5;114,7;1 543,8;1 741,3;1 267,0;474,3;2012;
181 231;4;181 227;93,5;411,68;419,7;100,6;319,2;1 615,3;106,8;1 504,9;1 821,1;1 298,8;522,4;2013;
186 773;9;186 764;94,3;403,92;410,8;90,4;320,4;1 673,6;84,5;1 586,7;1 820,1;1 318,9;501,2;2014;
191 876;5;191 871;95,2;490,19;511,2;93,9;417,3;1 923,2;85,3;1 838,3;1 902,9;1 405,2;497,7;2015;
196 814;10;196 804;96,6;483,97;485,7;91,4;394,2;2 255,7;83,7;2 172,0;1 941,8;1 430,0;511,8;2016;
205 173;10;205 163;95,8;492,24;489,3;91,4;398,0;2 264,1;84,8;2 179,3;1 930,2;1 461,3;468,9;2017;
210 520;58;210 462;96,8;483,58;488,5;91,4;397,1;2 239,4;85,2;2 154,3;2 024,7;1 568,8;455,9;2018;
216 573;51;216 522;97,5;498,64;510,9;91,4;419,6;2 262,3;85,0;2 179,9;2 045,5;1 599,9;445,6;2019;
219 508;57;219 451;97,8;518,21;530,3;91,4;439,0;2 191,2;85,1;2 104,3;1 958,7;1 536,2;422,4;2020;
232 888;56;232 832;98,6;518,03;530,1;91,4;438,8;2 350,1;85,2;2 271,8;2 080,4;1 634,6;445,9;2021;
-;-;-;-;517,20;527,9;89,2;438,8;2 135,6;81,4;2 053,4;2 403,7;1 952,5;451,2;2022;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
